segment,start,finish,mean,sigma
380,24073,24104,626.128,3764.43
381,24105,24128,683.841,4117.67
382,24129,24192,566.972,2137.03
383,24193,24233,678.121,3402.48
384,24234,24357,736.688,2472.34
385,24358,24440,704.684,1452.46
386,24441,24468,865.468,5588.06
387,24469,24490,818.23,1196.78
388,24491,24526,706.004,3922.48
389,24527,24572,921.707,2030.42
390,24573,24594,799,5546.37
391,24595,24693,707.795,1718.6
392,24694,24727,761.804,2581.23
393,24728,24823,643.099,2654.68
394,24824,24876,603.423,3302.85
395,24877,24958,724.064,2790.15
396,24959,24978,669.287,346.879
397,24979,25000,700.228,1661.39
398,25001,25041,604.921,1448.54
399,25042,25088,529.936,600.38
400,25089,25126,623.82,5610.75
401,25127,25181,660.704,1657.69
402,25182,25210,819.443,2009.41
403,25211,25281,878.259,1420.03
404,25282,25340,825.426,470.752
405,25341,25360,870.07,649.246
406,25361,25384,675.591,2092.99
407,25385,25404,626.827,702.758
408,25405,25452,586.015,792.669
409,25453,25498,637.975,530.479
410,25499,25551,554.015,2170.64
411,25552,25597,675.065,3559.53
412,25598,25632,708.685,3438.74
413,25633,25682,749.518,2287.87
414,25683,25766,714.246,1760.31
415,25767,25851,678.986,1487.03
416,25852,25892,739.093,769.895
417,25893,25919,822.629,1069.59
418,25920,25940,760.028,656.927
419,25941,25983,779.68,448.269
420,25984,26056,739.469,4234.61
421,26057,26178,762.47,813.034
422,26179,26206,785.436,255.377
423,26207,26279,797.101,635.933
424,26280,26312,713.127,1068.79
425,26313,26348,751.955,1054.6
426,26349,26582,767.057,1491.76
427,26583,27769,832.338,1368.24
428,27770,27803,878.908,526.187
429,27804,27847,848.553,588.885
430,27848,27870,806.757,929.479
431,27871,27899,776.968,4804.14
432,27900,27919,727.97,207.244
433,27920,27995,776.199,1766.84
434,27996,28072,823.865,4379.38
435,28073,28119,756.38,1270.87
436,28120,28152,798.77,854.583
437,28153,28181,739.746,892.335
438,28182,28294,813.818,2615.5
439,28295,28319,688.588,2223.16
440,28320,28345,657.847,2363.98
441,28346,28368,707.811,902.288
442,28369,28403,736.05,2313.3
443,28404,28510,675.115,1548.2
444,28511,28546,688.785,997.962
445,28547,28570,725.262,1208.28
446,28571,28591,774.926,473.811
447,28592,28642,889.094,1706.56
448,28643,28832,822.593,2296.67
449,28833,28863,872.23,2061.08
450,28864,28886,810.123,207.691
451,28887,28918,852.573,1620.06
452,28919,28959,982.662,788.902
453,28960,29092,953.009,1679.39
454,29093,29113,935.642,676.895
455,29114,29162,888.757,1992.02
456,29163,29183,968.751,817.895
457,29184,29284,931.966,1480.51
458,29285,29342,858.943,1564.56
459,29343,29438,932.593,2344.12
460,29439,29485,891.467,3174.58
461,29486,29523,948.604,559.612
462,29524,29581,837.247,2305.27
463,29582,29636,946.592,1256.37
464,29637,29703,869.276,2099.64
465,29704,29897,935.713,1825.99
466,29898,29950,961.415,1228.46
467,29951,29984,820.393,2474.8
468,29985,30048,898.334,1647.12
469,30049,30076,821.501,624.832
470,30077,30115,939.906,1121.58
471,30116,30231,888.699,1801.07
472,30232,30275,959.517,1635.99
473,30276,30299,770.185,1517.52
474,30300,30336,869.512,2359.56
475,30337,30451,975.545,1693.45
476,30452,30471,864.064,7146.83
477,30472,30520,914.86,1178.09
478,30521,30540,871.876,1165.4
479,30541,30561,954.242,874.543
480,30562,30621,857.684,2209.85
481,30622,30689,778.19,4860.56
482,30690,30735,819.062,2680.66
483,30736,30868,912.574,2619.62
484,30869,30923,948.865,643.867
485,30924,30954,917.155,3461.12
486,30955,31122,835.575,3775.35
487,31123,31218,758.605,3338.62
488,31219,31285,839.552,2166.32
489,31286,31390,775.104,2538.68
490,31391,31423,801.506,2073.87
491,31424,31545,752.308,1167.33
492,31546,31579,858.457,513.324
493,31580,31673,894.283,490.558
494,31674,31695,813.21,1958.37
495,31696,31729,893.706,909.167
496,31730,31912,860.956,1158.85
497,31913,31968,710.101,1033.6
498,31969,32013,790.023,2372.51
499,32014,32048,742.436,981.656
500,32049,32078,776.043,279.219
501,32079,32111,726.559,1162.43
502,32112,32237,854.168,4952.16
503,32238,32326,805.811,1525.33
504,32327,32351,726.252,2810.05
505,32352,32437,800.186,1310.01
506,32438,32463,746.749,893.676
507,32464,32536,833.54,4587.24
508,32537,32589,741.553,2256.15
509,32590,32616,690.272,592.384
510,32617,32656,733.657,742.502
511,32657,32684,816.686,1747.32
512,32685,32709,729.062,730.995
513,32710,32743,852.483,3039.74
514,32744,32797,749.568,885.415
515,32798,32857,818.838,1241.33
516,32858,32886,754.582,1336.29
517,32887,32916,665.795,2826.98
518,32917,32951,700.481,1060.85
519,32952,33079,731.077,1712.92
520,33080,33105,589.668,5829.34
521,33106,33127,659.173,1143.96
522,33128,33166,617.974,1477.86
523,33167,33194,765.069,1347
524,33195,33234,856.642,383.551
525,33235,33256,745.03,1218.02
526,33257,33298,801.968,3426.95
527,33299,33322,741.65,621.502
528,33323,33358,831.816,1257.26
529,33359,33388,917.189,520.243
530,33389,33814,929.487,831.918
531,33815,33877,897.447,315.98
532,33878,33932,935.654,458.835
533,33933,33968,891.061,502.015
534,33969,34000,944.338,428.241
535,34001,34025,915.626,264.484
536,34026,34059,877.988,743.576
537,34060,34161,908.625,411.89
538,34162,34573,957.348,1001.07
539,34574,34672,767.061,4871.2
540,34673,34709,877.819,3490.22
541,34710,34732,949.391,1797.06
542,34733,34764,987.794,484.105
543,34765,34802,956.622,384.988
544,34803,34824,999.645,1107.21
545,34825,34979,1033.52,1265.07
546,34980,35038,963.984,1224.94
547,35039,35143,1063.16,1680.33
548,35144,35201,999.327,1169.9
549,35202,35242,1036.97,488.347
550,35243,35271,995.421,442.578
551,35272,35306,1017.86,781.097
552,35307,35368,1044.45,604.292
553,35369,35412,982.068,1267.78
554,35413,35488,1024.98,835.01
555,35489,35518,960.369,1192.51
556,35519,35538,993.752,408.609
557,35539,35562,939.455,977.928
558,35563,35713,999.345,1124.08
559,35714,35734,688.6,5121.15
560,35735,35987,762.336,4822.05
561,35988,36200,618.933,5260.43
562,36201,36229,939.658,1564.64
563,36230,36271,1062.5,2024.55
564,36272,36293,937.856,1607.13
565,36294,36344,1042.66,3550.79
566,36345,36364,945.174,775.559
567,36365,36443,790.463,6466.43
568,36444,37187,990.362,857.405
569,37188,37305,951.507,1577.07
570,37306,37471,1000.71,1043.75
571,37472,37518,983.379,577.534
572,37519,37733,1005.13,504.443
573,37734,37753,929.934,460.557
574,37754,37803,977.657,742.416
575,37804,38029,996.445,857.454
576,38030,38103,977.824,664.239
577,38104,38137,910.077,2556.76
578,38138,38191,682.437,1169.49
579,38192,38241,547.658,811.754
580,38242,38278,597.341,198.694
581,38279,38299,698.661,400.203
582,38300,38359,844.793,1776.23
583,38360,38393,877.758,1098.18
584,38394,38413,923.439,466.461
585,38414,38458,863.196,728.605
586,38459,38480,809.306,265.418
587,38481,38501,915.18,862.339
588,38502,38548,871.511,580.67
589,38549,38577,828.127,344.388
590,38578,38630,724.499,976.914
591,38631,38717,591.032,3257.38
592,38718,38742,706.564,3759.26
593,38743,38762,919.532,366.83
594,38763,38799,990.711,552.173
595,38800,38930,1015.03,709.524
596,38931,39371,986.716,1095.69
597,39372,39400,926.725,2037.77
598,39401,39420,696.094,2562.82
599,39421,39463,733.468,593.535
600,39464,39489,664.965,690.055
601,39490,39571,574.378,1410.11
602,39572,39616,725.349,8593.6
603,39617,39709,958.083,1473.84
604,39710,39750,911.015,1287.44
605,39751,39890,936.051,1848.24
606,39891,39928,878.685,1178.26
607,39929,39977,943.719,322.926
608,39978,40004,983.219,510.376
609,40005,40031,889.758,790.325
610,40032,40072,964.559,558.741
611,40073,40126,895.111,648.592
612,40127,40153,929.978,457.691
613,40154,40179,875.003,463.864
614,40180,40268,768.284,3992.7
615,40269,40291,881.455,2006.77
616,40292,40400,805.478,1948.68
617,40401,40576,735.141,2542.56
618,40577,40640,754.101,4912.75
619,40641,40681,934.261,1214.48
620,40682,41081,1016.39,1018.53
621,41082,41149,997.359,1704.62
622,41150,41205,955.079,664.192
623,41206,41276,1008.47,602.929
624,41277,41304,958.708,573.547
625,41305,41424,992.735,996.76
626,41425,41446,940.697,1329.25
627,41447,41483,1027.24,392.054
628,41484,41534,989.431,834.503
629,41535,41566,971.681,499.128
630,41567,41589,1033.29,722.477
631,41590,41614,1000.94,327.146
632,41615,41695,988.235,636.473
633,41696,41767,1009.66,759.065
634,41768,41844,927.254,2774.28
635,41845,41882,985.198,636.061
636,41883,41911,943.428,443.15
637,41912,42143,977.387,1059.47
638,42144,42204,934.748,1796.15
639,42205,42280,972.966,352.272
640,42281,42302,848.368,2985.82
641,42303,42328,959.737,745.513
642,42329,42357,838.296,2998.85
643,42358,42387,913.74,1098.87
644,42388,42408,724.09,874.522
645,42409,42435,840.633,5283.21
646,42436,42477,931.177,935.594
647,42478,42544,990.44,1168.6
648,42545,42567,879.417,2157.46
649,42568,42615,1016.77,337.597
650,42616,42908,980.03,1111.23
651,42909,43080,1030.25,940.594
652,43081,43135,1062.64,609.192
653,43136,43159,1029.3,516.126
654,43160,43340,1050.8,540.927
655,43341,43482,1070.14,511.671
656,43483,43700,1060.67,394.637
657,43701,43916,1045.83,346.082
658,43917,43996,1060.84,387.359
659,43997,44108,1073.38,367.446
660,44109,44143,1057.81,503.348
661,44144,44224,1038.97,559.235
662,44225,44306,1015.91,329.203
