size,mean,sigma
25,621.292,410.329
26,644.985,1458.42
24,567.708,73.0101
23,555.334,633.823
80,516.478,397.148
56,619.225,988.87
36,649.69,2134.47
126,732.835,1893.06
41,693.98,210.279
23,666.781,203.149
47,722.446,1135.68
47,570.829,2215.29
44,655.304,1564.33
33,696.231,854.077
33,613.874,259.511
80,681.322,6284.39
52,561.244,3709.15
39,753.523,1277.3
37,854.942,642.71
52,926.233,283.414
26,854.591,689.206
83,906.157,426.506
33,934.187,274.778
38,903.578,188.963
132,925.486,789.642
25,916.876,223.19
34,877.299,738.099
21,924.109,147.354
65,934.016,299.505
49,897.164,181.446
23,916.781,253.072
25,865.935,794.062
34,948.071,565.527
45,892.883,362.402
27,914.932,161.199
60,947.007,372.609
25,911.117,715.137
36,854.386,394.648
25,810.313,465.548
45,887.854,649.687
29,922.954,264.725
32,908.119,327.161
22,863.977,1036.05
32,792.242,5969.62
21,829.568,2477.38
20,778.882,2871.8
35,740.09,2418.37
39,658.655,353.83
44,627.045,340.839
50,664.918,738.517
36,532.987,1744.26
83,448.329,1255.04
64,442.505,111.158
29,470.04,1249.03
22,510.814,2699.74
30,640.423,2365.99
40,596.208,420.197
26,627.927,406.869
26,683.122,2151.24
22,884.601,3279.74
60,661.484,2904.32
106,704.57,2598.32
30,659.368,448.97
41,688.582,946.854
31,722.747,1500.22
23,759.508,1027.8
99,690.409,465.541
23,672.217,185.777
100,710.746,453.669
22,683.595,97.3405
56,700.939,700.001
42,725.492,1032.3
48,819.337,918.403
22,921.521,479.418
67,893.891,1638.97
73,748.044,4831.99
57,855.96,2166.39
33,830.257,359.61
20,785.72,749.397
186,839.446,977.828
30,741.514,3312.28
46,898.099,1722.37
64,861.086,1060.75
75,879.376,272.582
42,857.144,578.473
41,889.674,275.242
28,846.542,321.977
26,771.938,494.161
20,714.366,1005.13
40,771.855,2810.06
42,881.14,1853.48
21,676.712,1895.03
37,786.53,936.045
28,725.801,406.954
102,679.315,1691.66
108,749.096,596.137
88,803.623,868.777
48,775.794,379.505
58,807.248,199.987
125,763.348,1227.76
77,740.607,544.652
25,779.688,172.895
29,834.323,524.808
63,857.99,1298.14
52,786.446,2791.06
30,693.238,425.757
25,737.814,280.152
20,699.838,572.316
28,654.526,1384.09
33,706.289,1651.24
25,666.251,104.387
78,639.219,1015.43
25,685.918,377.092
23,721.664,1487.06
51,621.531,2248.07
21,661.46,172.926
54,678.852,316.761
29,704.427,654.69
23,649.954,213.535
75,664.16,643.072
23,672.217,108.096
38,679.713,518.559
38,605.081,661.643
53,623.146,757.41
35,665.18,305.667
21,696.802,138.07
88,718.461,908.479
37,675.785,3152.7
56,651.122,2599.23
61,664.861,737.674
66,720.475,1024.75
107,776.144,3287.23
40,749.416,430.011
48,709.051,527.942
64,674.439,1308.02
43,722.514,492.268
63,706.91,391.29
31,677.501,487.97
49,654.306,262.407
21,716.601,131.665
38,682.236,1211.79
110,740.627,736.655
21,704.626,289.705
37,675.219,268.236
28,661.245,340.11
49,734.345,1522.52
22,672.586,231.992
59,729.874,457.144
63,801.588,1914.8
47,749.835,1198.11
41,822.533,2094.98
43,734.844,1127.5
173,721.98,890.244
32,819.581,414.881
92,795.108,875.549
27,765.337,438.926
34,721.958,455.566
58,743.029,402.311
38,722.594,448.836
41,782.29,624.626
70,808.246,2547.59
139,799.723,1588.27
25,865.626,2843.39
25,754.064,850.012
35,813.617,420.59
52,852.162,1723.59
37,792.761,998.644
91,760.496,2971.24
51,817.113,935.849
54,737.515,327.809
20,696.486,348.716
34,765.166,317.91
79,835.508,1887.06
55,717.076,675.92
24,761.069,413.566
42,710.99,2318.61
39,715.513,355.901
33,752.963,2338.69
32,784.424,570.408
67,703.703,762.474
21,752.452,395.497
48,902.868,3756.55
101,813.097,1014.05
33,732.719,365.262
24,821.29,495.228
27,900.464,1622.56
73,810.002,695.368
32,781.812,355.553
40,804.884,655.739
115,832.277,1751.98
27,765.915,166.602
82,791.208,716.481
44,848.901,394.443
21,816.967,565.012
72,889.758,594.111
57,842.791,3361.39
38,817.436,648.035
68,760.227,2629.47
21,706.103,88.3687
38,664.777,2720.94
35,727.297,793.078
22,832.779,2379.14
68,962.892,1478.28
51,845.622,2751.98
56,818.264,480.226
35,792.189,625.433
26,832.333,523.564
41,865.665,177.679
27,812.114,392.963
22,867.647,1410.51
29,816.019,1550.08
57,784.325,634.044
29,873.654,811.147
23,810.803,776.593
21,857.516,1342.15
22,796.62,395.251
40,833.175,280.049
34,777.754,2332.83
43,824.492,434.092
25,798.751,357.482
128,912.294,949.866
45,738.896,2002.27
59,690.831,809.235
27,711.807,231.612
198,787.087,1578.06
40,847.658,456.949
22,799.008,297.48
55,832.265,740.753
56,772.342,2418.63
36,809.867,1154.14
35,787.503,178.798
41,835.368,2033.63
38,951.759,5474.37
33,690.816,2048.73
25,807.188,171.481
20,880.86,538.871
92,926.717,856.961
50,883.752,1558.64
32,807.132,2313.16
32,931.642,574.878
40,952.54,461.32
420,873.528,6813.54
54,991.755,1958.69
28,856.622,2446.59
21,900.146,364.212
96,833.093,829.888
35,795.9,1107.37
31,830.647,502.021
23,874.32,1525.39
21,817.338,1315.13
63,867.933,521.187
